id,customer_message,gold_intent,gold_action,gold_reason,gold_reply_requirements,difficulty,expected_intent,expected_action,conversation_id,annotator_id,risk_level
GOLD_015,Package lost in transit according to tracking page. What do I do now?,order_tracking,AUTO,Standard order_tracking inquiry,Offer replacement or refund via DM,easy,order_tracking,AUTO,gold_conv_015,EXP_ANN_01,LOW
GOLD_016,"Order 111-9988223 says delivered to reception, but our building does not have a reception.",order_tracking,AUTO,Standard order_tracking inquiry,Offer carrier check and DM escalation,medium,order_tracking,AUTO,gold_conv_016,EXP_ANN_02,LOW
GOLD_017,Where is it,order_tracking,AUTO,Standard order_tracking inquiry,Politely ask for order details or tracking ID,hard,order_tracking,AUTO,gold_conv_017,EXP_ANN_01,LOW
GOLD_018,"Courier stated address was inaccessible because gate was locked, but gate has no lock.",order_tracking,AUTO,Standard order_tracking inquiry,Apologize and offer carrier feedback and redelivery via DM,medium,order_tracking,AUTO,gold_conv_018,EXP_ANN_02,LOW
GOLD_019,My delivery date keeps moving back every single day for the past 4 days.,order_tracking,AUTO,Standard order_tracking inquiry,Apologize for repeated rescheduling and investigate via DM,medium,order_tracking,AUTO,gold_conv_019,EXP_ANN_01,LOW
GOLD_020,Is order 112-0099887 arriving today as scheduled?,order_tracking,AUTO,Standard order_tracking inquiry,Advise checking tracking page or DM order ID,easy,order_tracking,AUTO,gold_conv_020,EXP_ANN_02,LOW
GOLD_021,I dropped off my return package at UPS 4 days ago. When will I get my refund?,refund_returns,AUTO,Standard refund_returns inquiry,Explain 3-5 business day refund timeframe after drop-off scan,easy,refund_returns,AUTO,gold_conv_021,EXP_ANN_01,LOW
GOLD_022,How do I get a return label for an item that is the wrong size?,refund_returns,AUTO,Standard refund_returns inquiry,Guide to Your Orders > Return or Replace Items,easy,refund_returns,AUTO,gold_conv_022,EXP_ANN_02,LOW
GOLD_023,My return was received at the warehouse on Monday. Where is my credit?,refund_returns,AUTO,Standard refund_returns inquiry,Explain inspection and refund processing timeline,easy,refund_returns,AUTO,gold_conv_023,EXP_ANN_01,LOW
GOLD_024,Can I return an item to Whole Foods or Kohl's without a box or printer?,refund_returns,AUTO,Standard refund_returns inquiry,Confirm QR code drop-off at Kohl's/Whole Foods,easy,refund_returns,AUTO,gold_conv_024,EXP_ANN_02,LOW
GOLD_025,I was charged a $6 return shipping fee for a defective item. Why?,refund_returns,AUTO,Standard refund_returns inquiry,Explain return fee policy and offer DM to review fee waiver,medium,refund_returns,AUTO,gold_conv_025,EXP_ANN_01,LOW
GOLD_026,How long does an Amazon gift card balance refund take after return drop-off?,refund_returns,AUTO,Standard refund_returns inquiry,Explain gift card refunds typically process within 2-4 hours,easy,refund_returns,AUTO,gold_conv_026,EXP_ANN_02,LOW
GOLD_027,I need to return a gift from my wedding registry for Amazon store credit.,refund_returns,AUTO,Standard refund_returns inquiry,Direct to Gift Returns portal,easy,refund_returns,AUTO,gold_conv_027,EXP_ANN_01,LOW
GOLD_028,Can I return opened cosmetics or skincare products within 30 days?,refund_returns,AUTO,Standard refund_returns inquiry,Provide return policy guidelines for beauty items,medium,refund_returns,AUTO,gold_conv_028,EXP_ANN_02,LOW
GOLD_029,"Refund status says completed, but my credit card statement has not updated.",refund_returns,AUTO,Standard refund_returns inquiry,Explain bank posting buffer (3-5 business days),easy,refund_returns,AUTO,gold_conv_029,EXP_ANN_01,LOW
GOLD_030,I returned 2 items in the same box with 1 return label. Will I get refunded for both?,refund_returns,AUTO,Standard refund_returns inquiry,Advise on multi-item returns and offer DM to check warehouse scan,medium,refund_returns,AUTO,gold_conv_030,EXP_ANN_02,LOW
GOLD_031,Can I extend my return window by 2 weeks because I was hospitalized?,refund_returns,AUTO,Standard refund_returns inquiry,Politely guide to customer support DM for return window exception,medium,refund_returns,AUTO,gold_conv_031,EXP_ANN_01,LOW
GOLD_032,Where is my money??,refund_returns,AUTO,Standard refund_returns inquiry,Ask customer for return tracking or order ID politely,hard,refund_returns,AUTO,gold_conv_032,EXP_ANN_02,LOW
GOLD_033,UPS lost my return shipment on the way back to your warehouse. Who refunds me?,refund_returns,AUTO,Standard refund_returns inquiry,Offer DM review with drop-off receipt,medium,refund_returns,AUTO,gold_conv_033,EXP_ANN_01,LOW
GOLD_034,I want a refund for the price drop that happened 2 days after my purchase.,refund_returns,AUTO,Standard refund_returns inquiry,Explain price match / return re-order policy,medium,refund_returns,AUTO,gold_conv_034,EXP_ANN_02,LOW
GOLD_035,How do I exchange an item for a different color without paying extra?,refund_returns,AUTO,Standard refund_returns inquiry,Guide to exchange workflow in Your Orders,easy,refund_returns,AUTO,gold_conv_035,EXP_ANN_01,LOW
GOLD_036,Return QR code expired before I could make it to the UPS store.,refund_returns,AUTO,Standard refund_returns inquiry,Explain how to regenerate return label in account,easy,refund_returns,AUTO,gold_conv_036,EXP_ANN_02,LOW
GOLD_037,Can I return heavy furniture that was delivered inside my house?,refund_returns,AUTO,Standard refund_returns inquiry,Explain carrier pickup scheduling for heavy items,medium,refund_returns,AUTO,gold_conv_037,EXP_ANN_01,LOW
GOLD_038,I was refunded in Amazon Gift Card balance instead of original payment method.,refund_returns,AUTO,Standard refund_returns inquiry,Explain payment method selection during return setup and offer DM,medium,refund_returns,AUTO,gold_conv_038,EXP_ANN_02,LOW
GOLD_039,Return tracking says delivered to return center 10 days ago. Still no refund.,refund_returns,AUTO,Standard refund_returns inquiry,Acknowledge delay and request DM with return tracking number,medium,refund_returns,AUTO,gold_conv_039,EXP_ANN_01,LOW
GOLD_040,How many days do I have to return electronic items bought during holiday sales?,refund_returns,AUTO,Standard refund_returns inquiry,Explain extended holiday return window policy,easy,refund_returns,AUTO,gold_conv_040,EXP_ANN_02,LOW
GOLD_041,My ceramic dinnerware set arrived broken into pieces. Order 112-9988334.,damaged_defective,AUTO,Standard damaged_defective inquiry,Apologize and offer replacement or refund via DM,easy,damaged_defective,AUTO,gold_conv_041,EXP_ANN_01,MEDIUM
GOLD_042,The laptop box had the seal broken and the screen is cracked.,damaged_defective,AUTO,Standard damaged_defective inquiry,Apologize for damaged tech item and offer immediate replacement via DM,easy,damaged_defective,AUTO,gold_conv_042,EXP_ANN_02,MEDIUM
GOLD_043,I ordered a green jacket size M and received a yellow shirt size XL.,damaged_defective,AUTO,Standard damaged_defective inquiry,Apologize for wrong item and provide prepaid exchange steps,easy,damaged_defective,AUTO,gold_conv_043,EXP_ANN_01,MEDIUM
GOLD_044,The shampoo bottle leaked all over my other books in the same box.,damaged_defective,AUTO,Standard damaged_defective inquiry,Apologize for leaked liquid damage and offer full replacement via DM,easy,damaged_defective,AUTO,gold_conv_044,EXP_ANN_02,MEDIUM
GOLD_045,Missing screws and assembly instructions from the office chair box.,damaged_defective,AUTO,Standard damaged_defective inquiry,Offer replacement parts or replacement unit via DM,easy,damaged_defective,AUTO,gold_conv_045,EXP_ANN_01,MEDIUM
GOLD_046,The blender motor started smoking on the second day of use. It is defective.,damaged_defective,AUTO,Standard damaged_defective inquiry,Apologize and direct to safety replacement/return,easy,damaged_defective,AUTO,gold_conv_046,EXP_ANN_02,MEDIUM
GOLD_047,Package box was completely crushed by the carrier.,damaged_defective,AUTO,Standard damaged_defective inquiry,Ask customer to check item contents and offer DM replacement,easy,damaged_defective,AUTO,gold_conv_047,EXP_ANN_01,MEDIUM
GOLD_048,I received an empty bubble mailer with a slit on the side. No product inside.,damaged_defective,AUTO,Standard damaged_defective inquiry,Apologize for missing contents and escalate via DM,medium,damaged_defective,AUTO,gold_conv_048,EXP_ANN_02,MEDIUM
GOLD_049,Item worked for 25 days and then completely died. Can I still replace it?,damaged_defective,AUTO,Standard damaged_defective inquiry,Guide to replacement within 30-day window,easy,damaged_defective,AUTO,gold_conv_049,EXP_ANN_01,MEDIUM
GOLD_050,The expiration date on the protein powder was 3 months ago.,damaged_defective,AUTO,Standard damaged_defective inquiry,Apologize for expired perishable and issue refund/replacement via DM,medium,damaged_defective,AUTO,gold_conv_050,EXP_ANN_02,MEDIUM
GOLD_051,Headphones only play audio in the left earbud right out of the box.,damaged_defective,AUTO,Standard damaged_defective inquiry,Offer troubleshooting or replacement via DM,easy,damaged_defective,AUTO,gold_conv_051,EXP_ANN_01,MEDIUM
GOLD_052,Broken item.,damaged_defective,AUTO,Standard damaged_defective inquiry,Ask for order ID and description of damage politely,hard,damaged_defective,AUTO,gold_conv_052,EXP_ANN_02,MEDIUM
GOLD_053,Ordered a pack of 4 air filters but the package only contained 1 filter.,damaged_defective,AUTO,Standard damaged_defective inquiry,Apologize for missing quantity and arrange replacement via DM,easy,damaged_defective,AUTO,gold_conv_053,EXP_ANN_01,MEDIUM
GOLD_054,The solar power bank caught fire while charging on my desk!,damaged_defective,HUMAN,HIGH_RISK_REQUEST,Safety emergency - route to Safety and Product Compliance team,hard,damaged_defective,HUMAN,gold_conv_054,EXP_ANN_02,MEDIUM
GOLD_055,I received someone else's order containing personal medical supplies.,damaged_defective,HUMAN,SENSITIVE_ACCOUNT_ISSUE,Privacy/sensitive item mixup - route to specialized support,hard,damaged_defective,HUMAN,gold_conv_055,EXP_ANN_01,MEDIUM
GOLD_056,Received a refurbished phone when I paid full price for a brand new one.,damaged_defective,AUTO,Standard damaged_defective inquiry,Apologize and arrange replacement for correct new item via DM,medium,damaged_defective,AUTO,gold_conv_056,EXP_ANN_02,MEDIUM
GOLD_057,The package arrived soaked in some unknown chemical fluid.,damaged_defective,HUMAN,HIGH_RISK_REQUEST,Hazardous material incident - route to logistics safety team,hard,damaged_defective,HUMAN,gold_conv_057,EXP_ANN_01,MEDIUM
GOLD_058,Smart watch will not pair with Bluetooth on iPhone 14.,damaged_defective,AUTO,Standard damaged_defective inquiry,Provide setup guidance and offer replacement via DM,easy,damaged_defective,AUTO,gold_conv_058,EXP_ANN_02,MEDIUM
GOLD_059,Defective keyboard has sticky spacebar and repeated keypresses.,damaged_defective,AUTO,Standard damaged_defective inquiry,Offer replacement or return via DM,easy,damaged_defective,AUTO,gold_conv_059,EXP_ANN_01,MEDIUM
GOLD_060,Clothing item arrived with security ink tag still attached.,damaged_defective,AUTO,Standard damaged_defective inquiry,Apologize and provide replacement / return options via DM,medium,damaged_defective,AUTO,gold_conv_060,EXP_ANN_02,MEDIUM
GOLD_061,I was double charged $74.99 for order 113-8877221 on my Visa card.,payment_billing,AUTO,Standard payment_billing inquiry,Explain temporary authorization holds and offer DM verification,easy,payment_billing,AUTO,gold_conv_061,EXP_ANN_01,MEDIUM
GOLD_062,Why is there an unauthorized $14.99 Amazon Digital charge on my bank statement?,payment_billing,AUTO,Standard payment_billing inquiry,Guide to Your Orders > Digital Orders and offer DM verification,medium,payment_billing,AUTO,gold_conv_062,EXP_ANN_02,MEDIUM
GOLD_063,My credit card payment was declined at checkout but my bank says card is fine.,payment_billing,AUTO,Standard payment_billing inquiry,Advise checking billing address and payment details under Your Payments,easy,payment_billing,AUTO,gold_conv_063,EXP_ANN_01,MEDIUM
GOLD_064,Where do I find and download the official VAT invoice for my business purchase?,payment_billing,AUTO,Standard payment_billing inquiry,Direct to Your Orders > Invoice / Order Details,easy,payment_billing,AUTO,gold_conv_064,EXP_ANN_02,MEDIUM
GOLD_065,I applied a $25 gift card but the invoice shows my card was charged the entire total.,payment_billing,AUTO,Standard payment_billing inquiry,Explain gift card balance allocation and offer DM review,medium,payment_billing,AUTO,gold_conv_065,EXP_ANN_01,MEDIUM
GOLD_066,Why did Amazon charge my credit card 3 days before shipping my order?,payment_billing,AUTO,Standard payment_billing inquiry,Explain authorization hold vs shipping charge policy,easy,payment_billing,AUTO,gold_conv_066,EXP_ANN_02,MEDIUM
GOLD_067,Received an email stating payment revision is required for my order.,payment_billing,AUTO,Standard payment_billing inquiry,Guide to Your Orders > Revise Payment Method,easy,payment_billing,AUTO,gold_conv_067,EXP_ANN_01,MEDIUM
GOLD_068,I need to change the payment method on an order that was placed 2 hours ago.,payment_billing,AUTO,Standard payment_billing inquiry,Explain how to update payment method before shipping,easy,payment_billing,AUTO,gold_conv_068,EXP_ANN_02,MEDIUM
GOLD_069,Charged twice.,payment_billing,AUTO,Standard payment_billing inquiry,Ask customer for order number and charge details via DM,hard,payment_billing,AUTO,gold_conv_069,EXP_ANN_01,MEDIUM
GOLD_070,My bank blocked the transaction thinking Amazon was fraud. How do I re-try?,payment_billing,AUTO,Standard payment_billing inquiry,Advise approving with bank and retrying payment in account,easy,payment_billing,AUTO,gold_conv_070,EXP_ANN_02,MEDIUM
GOLD_071,I see 4 identical pending charges of $120 each on my debit card.,payment_billing,AUTO,Standard payment_billing inquiry,Explain multiple authorization holds and offer DM investigation,medium,payment_billing,AUTO,gold_conv_071,EXP_ANN_01,MEDIUM
GOLD_072,Can I split a $300 purchase between two different credit cards?,payment_billing,AUTO,Standard payment_billing inquiry,Explain Amazon payment options (gift card + 1 card),easy,payment_billing,AUTO,gold_conv_072,EXP_ANN_02,MEDIUM
GOLD_073,Why was sales tax charged on tax-exempt grocery items in California?,payment_billing,AUTO,Standard payment_billing inquiry,Explain tax calculation and offer DM for tax exemption certificate,medium,payment_billing,AUTO,gold_conv_073,EXP_ANN_01,MEDIUM
GOLD_074,If you do not refund this duplicate charge within 1 hour I will file a bank chargeback and sue!,payment_billing,HUMAN,HIGH_RISK_REQUEST,Legal threat and dispute - route to human billing specialist,hard,payment_billing,HUMAN,gold_conv_074,EXP_ANN_02,MEDIUM
GOLD_075,How do I redeem an Amazon physical gift card code that has a scratched-off digit?,payment_billing,AUTO,Standard payment_billing inquiry,Guide to Customer Service gift card recovery with serial number,medium,payment_billing,AUTO,gold_conv_075,EXP_ANN_01,MEDIUM
GOLD_076,Charged for Prime Video channel subscription that I never signed up for.,payment_billing,AUTO,Standard payment_billing inquiry,Explain Prime Video Channels management and offer DM for cancellation/refund,medium,payment_billing,AUTO,gold_conv_076,EXP_ANN_02,MEDIUM
GOLD_077,My gift card balance disappeared after I placed and cancelled an order.,payment_billing,AUTO,Standard payment_billing inquiry,Explain refund to gift card balance timeframe and offer DM,medium,payment_billing,AUTO,gold_conv_077,EXP_ANN_01,MEDIUM
GOLD_078,Why was my currency conversion fee so high on an international order?,payment_billing,AUTO,Standard payment_billing inquiry,Explain Amazon Currency Converter options,easy,payment_billing,AUTO,gold_conv_078,EXP_ANN_02,MEDIUM
GOLD_079,I am filing a formal police report regarding fraudulent transactions on my stolen credit card.,payment_billing,HUMAN,HIGH_RISK_REQUEST,Police report / legal notice - route to Fraud Investigation team,hard,payment_billing,HUMAN,gold_conv_079,EXP_ANN_01,MEDIUM
GOLD_080,Invoice shows incorrect company tax registration number.,payment_billing,AUTO,Standard payment_billing inquiry,Guide to Amazon Business account settings for tax editing,medium,payment_billing,AUTO,gold_conv_080,EXP_ANN_02,MEDIUM
GOLD_081,EMERGENCY: Someone hacked into my Amazon account and changed my email and phone number!,account_security,HUMAN,SECURITY_OR_FRAUD,Account takeover emergency - route immediately to Account Security,hard,account_security,HUMAN,gold_conv_081,EXP_ANN_01,HIGH
GOLD_082,I received a two-factor verification code on SMS that I never requested. Is someone logging in?,account_security,HUMAN,SECURITY_OR_FRAUD,Suspected credential stuffing - guide to password reset and escalate,hard,account_security,HUMAN,gold_conv_082,EXP_ANN_02,HIGH
GOLD_083,My account has been placed on temporary hold for suspicious activity. I cannot access my orders.,account_security,HUMAN,SECURITY_OR_FRAUD,Account hold - route to Account Verification team,hard,account_security,HUMAN,gold_conv_083,EXP_ANN_01,HIGH
GOLD_084,"Someone placed $1,200 worth of digital gift cards on my account without my knowledge!",account_security,HUMAN,SECURITY_OR_FRAUD,Unauthorized purchase/compromise - route to Fraud team,hard,account_security,HUMAN,gold_conv_084,EXP_ANN_02,HIGH
GOLD_085,I lost access to my registered phone number and cannot pass 2-step verification.,account_security,HUMAN,SECURITY_OR_FRAUD,2FA lockout - route to Account Recovery Specialists,hard,account_security,HUMAN,gold_conv_085,EXP_ANN_01,HIGH
GOLD_086,Got an email claiming my password was reset from an IP address in Ukraine.,account_security,HUMAN,SECURITY_OR_FRAUD,Phishing or unauthorized login - route to Security team,hard,account_security,HUMAN,gold_conv_086,EXP_ANN_02,HIGH
GOLD_087,How do I enable two-factor authentication on my Amazon account for better security?,account_security,AUTO,Standard account_security inquiry,Guide to Login & Security > Two-Step Verification,easy,account_security,AUTO,gold_conv_087,EXP_ANN_01,HIGH
GOLD_088,Someone created an unauthorized Amazon seller account using my social security number!,account_security,HUMAN,SECURITY_OR_FRAUD,Identity theft / seller fraud - route to Legal and Security teams,hard,account_security,HUMAN,gold_conv_088,EXP_ANN_02,HIGH
GOLD_089,I received a fake phishing SMS claiming my Amazon package has unpaid custom fees.,account_security,AUTO,Standard account_security inquiry,Warn about phishing and direct to report suspicious communications,easy,account_security,AUTO,gold_conv_089,EXP_ANN_01,HIGH
GOLD_090,My account is locked and customer service representative told me to upload my passport.,account_security,HUMAN,SENSITIVE_ACCOUNT_ISSUE,Identity document verification - route to Account Review team,hard,account_security,HUMAN,gold_conv_090,EXP_ANN_02,HIGH
GOLD_091,Someone is ordering items to my home address that I never bought. Brushing scam?,account_security,HUMAN,SECURITY_OR_FRAUD,Brushing scam - route to Customer Protection team,hard,account_security,HUMAN,gold_conv_091,EXP_ANN_01,HIGH
GOLD_092,Hacked.,account_security,HUMAN,SECURITY_OR_FRAUD,Immediate account security escalation,hard,account_security,HUMAN,gold_conv_092,EXP_ANN_02,HIGH
GOLD_093,How do I change my account password and sign out of all active devices?,account_security,AUTO,Standard account_security inquiry,Guide to Login & Security > Sign-out of all devices,easy,account_security,AUTO,gold_conv_093,EXP_ANN_01,HIGH
GOLD_094,I suspect my ex-partner is reading my Amazon delivery notifications and tracking my location.,account_security,HUMAN,SECURITY_OR_FRAUD,Personal safety/security concern - route to Security team,hard,account_security,HUMAN,gold_conv_094,EXP_ANN_02,HIGH
GOLD_095,My Amazon Pay account was drained by an unauthorized third party merchant.,account_security,HUMAN,SECURITY_OR_FRAUD,Financial theft on Amazon Pay - route to Fraud team,hard,account_security,HUMAN,gold_conv_095,EXP_ANN_01,HIGH
GOLD_096,Can I merge two separate Amazon accounts registered under different email addresses?,account_security,AUTO,Standard account_security inquiry,Explain account merging policy and household sharing,medium,account_security,AUTO,gold_conv_096,EXP_ANN_02,HIGH
GOLD_097,I received an order confirmation email for an order that does not appear in my account history.,account_security,HUMAN,SECURITY_OR_FRAUD,Possible compromised account or phishing - route to Security,hard,account_security,HUMAN,gold_conv_097,EXP_ANN_01,HIGH
GOLD_098,How do I delete my Amazon account and purge all associated personal data under GDPR/CCPA?,account_security,AUTO,Standard account_security inquiry,Guide to Request My Data / Close Your Account portal,medium,account_security,AUTO,gold_conv_098,EXP_ANN_02,HIGH
GOLD_099,Someone changed the primary delivery address on all my recurring Subscribe & Save orders.,account_security,HUMAN,SECURITY_OR_FRAUD,Unauthorized account alteration - route to Security team,hard,account_security,HUMAN,gold_conv_099,EXP_ANN_01,HIGH
GOLD_100,I forgot the email address associated with my old Amazon account from 5 years ago.,account_security,HUMAN,SENSITIVE_ACCOUNT_ISSUE,Account identity lookup - route to human agent,hard,account_security,HUMAN,gold_conv_100,EXP_ANN_02,HIGH
GOLD_101,I was billed $139 for Amazon Prime annual renewal. I want to cancel and get a full refund.,subscription_prime,AUTO,Standard subscription_prime inquiry,Explain Prime cancellation under Manage Membership and refund eligibility,easy,subscription_prime,AUTO,gold_conv_101,EXP_ANN_01,LOW
GOLD_102,How do I pause my Prime membership for 2 months while I am travelling abroad?,subscription_prime,AUTO,Standard subscription_prime inquiry,Explain pause membership feature under Manage Prime,easy,subscription_prime,AUTO,gold_conv_102,EXP_ANN_02,LOW
GOLD_103,Why is Prime Video showing commercials when I am an active Prime subscriber?,subscription_prime,AUTO,Standard subscription_prime inquiry,Explain ad-free tier upgrade option and Prime Video features,easy,subscription_prime,AUTO,gold_conv_103,EXP_ANN_01,LOW
GOLD_104,How can I share my Amazon Prime free shipping benefits with my husband?,subscription_prime,AUTO,Standard subscription_prime inquiry,Guide to setting up Amazon Household,easy,subscription_prime,AUTO,gold_conv_104,EXP_ANN_02,LOW
GOLD_105,How do I sign up for the 6-month Prime Student discount with my university email?,subscription_prime,AUTO,Standard subscription_prime inquiry,Guide to Prime Student signup portal,easy,subscription_prime,AUTO,gold_conv_105,EXP_ANN_01,LOW
GOLD_106,I want to cancel Amazon Music Unlimited but keep my standard Amazon Prime delivery.,subscription_prime,AUTO,Standard subscription_prime inquiry,Guide to Memberships & Subscriptions to cancel Music Unlimited,easy,subscription_prime,AUTO,gold_conv_106,EXP_ANN_02,LOW
GOLD_107,Does Amazon Prime include a free Grubhub+ or Deliveroo membership?,subscription_prime,AUTO,Standard subscription_prime inquiry,Confirm Prime delivery partner benefits and redemption link,easy,subscription_prime,AUTO,gold_conv_107,EXP_ANN_01,LOW
GOLD_108,Why was I charged $9.99 for Kindle Unlimited when I only read one book during free trial?,subscription_prime,AUTO,Standard subscription_prime inquiry,Explain auto-renewal policy and how to cancel Kindle Unlimited,easy,subscription_prime,AUTO,gold_conv_108,EXP_ANN_02,LOW
GOLD_109,Cancel Prime.,subscription_prime,AUTO,Standard subscription_prime inquiry,Provide direct link to cancel Prime membership in account settings,hard,subscription_prime,AUTO,gold_conv_109,EXP_ANN_01,LOW
GOLD_110,Can I switch my Prime membership from annual billing to monthly billing?,subscription_prime,AUTO,Standard subscription_prime inquiry,Guide to changing payment frequency in Prime settings,easy,subscription_prime,AUTO,gold_conv_110,EXP_ANN_02,LOW
GOLD_111,I cancelled my Prime membership 2 days ago. Why did I only receive a partial refund?,subscription_prime,AUTO,Standard subscription_prime inquiry,Explain benefit usage pro-rated refund calculations and offer DM,medium,subscription_prime,AUTO,gold_conv_111,EXP_ANN_01,LOW
GOLD_112,Does Amazon Prime provide cloud storage for unlimited full-resolution raw photos?,subscription_prime,AUTO,Standard subscription_prime inquiry,Explain Amazon Photos benefits for Prime members,easy,subscription_prime,AUTO,gold_conv_112,EXP_ANN_02,LOW
GOLD_113,How do I cancel my Audible subscription without losing my unused audio credits?,subscription_prime,AUTO,Standard subscription_prime inquiry,Advise spending credits before cancellation or guide to Audible settings,medium,subscription_prime,AUTO,gold_conv_113,EXP_ANN_01,LOW
GOLD_114,My Prime Student trial ended. How do I verify continuing enrollment for discounted renewal?,subscription_prime,AUTO,Standard subscription_prime inquiry,Explain student re-verification steps via SheerID,easy,subscription_prime,AUTO,gold_conv_114,EXP_ANN_02,LOW
GOLD_115,Prime benefits are not active on my account even though payment cleared yesterday.,subscription_prime,AUTO,Standard subscription_prime inquiry,Apologize and offer DM to refresh membership entitlement,medium,subscription_prime,AUTO,gold_conv_115,EXP_ANN_01,LOW
GOLD_116,Does Prime Video allow 4 simultaneous 4K streams in the same house?,subscription_prime,AUTO,Standard subscription_prime inquiry,Explain streaming device limits (up to 3 simultaneous devices),easy,subscription_prime,AUTO,gold_conv_116,EXP_ANN_02,LOW
GOLD_117,How do I unsubscribe from the Amazon Kids+ monthly subscription?,subscription_prime,AUTO,Standard subscription_prime inquiry,Guide to Parent Dashboard / Memberships & Subscriptions,easy,subscription_prime,AUTO,gold_conv_117,EXP_ANN_01,LOW
GOLD_118,Charged for Prime.,subscription_prime,AUTO,Standard subscription_prime inquiry,Ask customer if they wish to cancel or review charges via DM,hard,subscription_prime,AUTO,gold_conv_118,EXP_ANN_02,LOW
GOLD_119,Can I get a discount on Prime if I receive government assistance (EBT / Medicaid)?,subscription_prime,AUTO,Standard subscription_prime inquiry,Guide to Prime Access qualifying discount program,easy,subscription_prime,AUTO,gold_conv_119,EXP_ANN_01,LOW
GOLD_120,I have Amazon Prime in the UK. Can I use Prime video and shipping while visiting the US?,subscription_prime,AUTO,Standard subscription_prime inquiry,Explain international Prime boundaries and marketplace accounts,medium,subscription_prime,AUTO,gold_conv_120,EXP_ANN_02,LOW
GOLD_121,I placed order 114-9988112 15 minutes ago. How can I cancel it before it ships?,cancellation,AUTO,Standard cancellation inquiry,Guide to Your Orders > Cancel Items before dispatch,easy,cancellation,AUTO,gold_conv_121,EXP_ANN_01,LOW
GOLD_122,The cancel button is missing on my order page. Please cancel order 112-8877112 right now.,cancellation,AUTO,Standard cancellation inquiry,Explain shipping preparation status and return on delivery option,medium,cancellation,AUTO,gold_conv_122,EXP_ANN_02,LOW
GOLD_123,"I requested cancellation yesterday, but today tracking shows the order has been dispatched!",cancellation,AUTO,Standard cancellation inquiry,Explain dispatch cutoff and advise refusing package or returning free,medium,cancellation,AUTO,gold_conv_123,EXP_ANN_01,LOW
